盛和居紫荆园	14000 元/平方米	萧山蜀山街道，蜀山路以东，小白线以南
顺发旺角城二期	22000 元/平方米	萧山市心中路123号
钱江西溪和景	15999 元/平方米	西湖西溪路537号
雍熙山	12000 元/平方米	余杭沿山路与景星观路交界东侧
九龙仓碧玺	27000 元/平方米	拱墅杭印路6号小河路杭印路交汇处
赞成檀府	7800 元/平方米	余杭星光街与新颜路交叉口（君湖国际酒店东侧）
保利原乡	7800 元/平方米	湖州 德清县城东新区（杭宁高速、德清大道口）
新义郡	6300 元/平方米	萧山义桥镇罗慕村
保利霞飞郡	14000 元/平方米	萧山北临中心路，东至明星路，南至建设二路，西临西一路
开元广场	15500 元/平方米	萧山市心南路地铁2号线南部卧城站西侧
万科良渚文化村郡西别墅	2000 万元/套	余杭良渚文化村郡西别墅内
耀翔悦尚	14500 元/平方米	拱墅祥园路与总管路交叉口
南北乐章	6500 元/平方米	余杭瓶窑新城核心区，西临东苕溪，东靠长连路，南侧为规划沿山路
至高钱塘一品	8500 元/平方米	萧山河庄大道与江东大道交叉口东南角
金昌春和钱塘	17500 元/平方米	萧山钱江世纪城飞虹路（外环西路）与民和路交叉口
平瑞瑞和园	11000 元/平方米	余杭良渚镇良港村良周路南侧，东西大道东侧
广宇鼎悦府	13000 元/平方米	余杭南大街与南苑街(翁梅路)交叉口东侧
大美公寓	13000 元/平方米	余杭时代广场南面，东临南大街、南临玩月街
金隅江城府	11000 元/平方米	下沙19号路与24号路交叉口西南侧
星耀城	22000 元/平方米	滨江江南大道与江陵路口地铁一号线江陵路站A出口
中铁逸都	6800 元/平方米	余杭北沙西路28号
新华园	53000 元/平方米	拱墅杭州武林广场北，湖墅南路与叶青兜路交汇处
嘉凯城名城博园	8300 元/平方米	余杭农副物流园区博园路与棕榈路交汇处
保利城市果岭	135 万元/套	下沙新城水云街与海涛路交汇，九桥高尔夫南侧
顺发江南丽锦	16000 元/平方米	萧山东临市心北路，南至扬帆路，北靠顺发和美家
众安白马山庄	10888 元/平方米	余杭留和路浙江科技学院西北侧
万和玺园	24000 元/平方米	下城颜三路再行路口
佳兆业玖珑山	13000 元/平方米	之江八角路与镇南路交叉口
三盛颐景御园	270 万元/套	余杭良渚镇梧桐圩路与良博路交接处，良渚博物馆西侧
中天官河锦庭	22000 元/平方米	滨江南至滨康路，西至阡陌路，往北紧邻地铁1号线西兴站约200米
百骊府	8500 元/平方米	临安万马路与石镜街交叉口东南侧
